zc..,alpha_c..,beita_c..,zb1..,alpha_b1..,zb2..,alpha_b2..,F1,F2,F3,F4,zc,zc.,zb1,zb1.,zb2,zb2.
1.011257052,0.006963289,0.006599923,0.625062883,-0.028950311,-0.085953213,-0.329349637,4666.294922,6125.22168,5748.435547,4320.388672,4.989964485,-0.008739206,1.994501114,-0.019574022,1.996183753,0.064319246
1.000587225,-0.102357976,-0.042253874,1.404238582,0.025877353,-0.220435053,-1.024661183,5200.742188,6843.470215,5733.866699,3635.164795,4.989927769,0.001308609,1.994339108,-0.011608484,1.996820807,0.062878303
1.017514586,-0.13899067,-0.138561726,1.998935938,-0.228974789,-0.456770509,-0.10326536,6005.35791,7766.014648,5406.982422,2992.789063,4.990002632,0.012400171,1.994318962,0.008992967,1.997494578,0.059203681
1.009662271,-0.155800685,-0.206920356,1.117730618,-0.332758456,-0.666386306,0.085982688,5715.583008,7532.18457,5007.731445,2457.634277,4.990177631,0.022572497,1.994496822,0.02522452,1.998059869,0.053538546
0.945306718,-0.162763357,-0.222099066,-0.088278726,-0.429470837,-0.771529913,0.275289536,4742.900391,6569.785645,4578.375,1985.359497,4.990452766,0.032393467,1.99478364,0.030259771,1.998559713,0.04624936
0.827975154,-0.159285858,-0.190639332,-0.896947801,-0.517062783,-0.765385449,0.461361647,3562.359375,5346.540527,4106.253418,1572.513916,4.990822315,0.041293263,1.99506557,0.024905579,1.998983383,0.038504098
0.677986622,-0.145294115,-0.137252808,-1.193681955,-0.592508018,-0.730625808,0.637800276,2453.233887,4135.189941,3530.294434,1164.898682,4.991274357,0.048840411,1.9952631,0.014135564,1.999330878,0.03104037
0.511190176,-0.121234529,-0.083090335,-1.241926312,-0.652789354,-0.748999774,0.798184454,1434.191772,2949.179688,2785.871338,700.9981689,4.991793633,0.0547961,1.995343566,0.001892475,1.999604702,0.023699358
0.331599623,-0.0880353,-0.036599092,-1.32016933,-0.694898009,-0.833977997,0.936084688,400.3255005,1680.132202,1848.362183,155.2790375,4.99236393,0.05902059,1.995299459,-0.01082807,1.999802947,0.01582266
0.156048954,-0.032642361,0.000149421,-1.705254316,-10.73097992,-1.021811604,15.02173233,-561.4117432,103.4963989,562.5544434,-209.142395,4.992906094,0.061227091,1.995146275,-0.023582621,1.999910116,0.007829729
-0.108895749,0.043468803,0.059404187,-3.176331282,-0.573962867,-1.624165773,0.921534121,-2673.264893,-2699.4375,-1355.644653,-1124.456299,4.993522167,0.06153417,1.9947927,-0.049523134,1.999923229,-0.006193821
-0.409968257,0.086502887,0.12296164,-2.932407141,-0.375177115,-1.362622738,0.715093434,-4082.025146,-4571.880371,-2754.775635,-1856.620605,4.994126797,0.058931101,1.994137526,-0.081129774,1.999782085,-0.021636283
-0.669307768,0.125059411,0.162665263,-1.886163473,-0.178916842,-0.768604696,0.507175624,-4712.735352,-5645.300781,-3834.908936,-2312.310303,4.994690895,0.053486045,1.993196845,-0.105399586,1.999507785,-0.032304309
-0.864404082,0.157868087,0.172552168,-1.016338229,0.02180755,-0.361886263,0.284924567,-5017.948242,-6354.570313,-4806.785156,-2725.527344,4.995188713,0.045772076,1.99206543,-0.119537689,1.999154568,-0.037703816
-1.013559699,0.183831841,0.162223116,-0.684437573,0.220501006,-0.272410214,0.055383358,-5349.324219,-7036.455566,-5783.710449,-3229.633057,4.9956007,0.036357533,1.990826964,-0.127652347,1.998762012,-0.040675189
-1.140180826,0.202120125,0.144278258,-0.694431663,0.410565197,-0.325355142,-0.174219519,-5768.072754,-7738.962891,-6713.393555,-3789.460205,4.995911121,0.025577005,1.989516616,-0.134425387,1.998340845,-0.043647625
-1.251096368,0.212164536,0.126086816,-0.700220942,0.585407436,-0.312349975,-0.396646917,-6141.737793,-8318.694336,-7467.349609,-4290.144531,4.996108055,0.01360662,1.988137007,-0.141506493,1.99788785,-0.046937145
-1.337420344,0.213646755,0.108628206,-0.516084194,0.738440454,-0.162833422,-0.604655623,-6325.644043,-8622.830078,-7951.100586,-4646.855957,4.996180058,0.000639996,1.986689329,-0.147747755,1.997404933,-0.049406972
-1.381471157,0.226029336,0.094262585,-0.146641642,0.873170912,0.349323153,-0.796962082,-6644.443848,-8181.893555,-7582.525391,-4979.608398,4.996118546,-0.013000056,1.985191822,-0.151156768,1.996909857,-0.048679829
-1.369875669,0.206050858,0.081088863,0.269394815,0.607948124,0.568086863,-0.653987706,-6343.90918,-7754.282715,-7342.662598,-4962.046387,4.995892048,-0.028179748,1.983529091,-0.150425896,1.996402502,-0.043192431
